"id","collection","dc.title","dc.description.abstract","dc.identifier.doi","dc.identifier.issn","dc.contributor.author","dc.type","dc.identifier.scopus","dc.date.issued"
"+","123456789/7294","The role of consumers in the achievement of corporate sustainability through the reduction of unfair commercial practices","© 2020 by the authors. The subject of this article is a determination of the potential of the prohibition of unfair commercial practice, as an institution of consumer law, established to strengthen consumers' protection, to contribute to the achievement of corporate sustainability. The main objective of the paper is the identification of situations in which certain companies' actions may at the same time be considered as unsustainable and socially irresponsible behavior, as well as unfair commercial practice. There are three such characteristic situations that were the subject of thorough analysis in the paper: (1) company's constantly invoking to the concepts of corporate sustainability and corporate social responsibility (CSR) in its marketing activities, which is essentially incorrect because the company in practice breaches some of the basic postulates of these concepts, (2) breach of company's code of conduct which contains the principles of corporate sustainability and CSR, and which the company has undertaken to be bound, (3) conducting many concrete acts which represent unfair commercial practice, and simultaneously have negative impact on the corporate sustainability and CSR. From the analysis of these three situations arises the conclusion that there is a possibility for indirect legal sanctioning of the unsustainable and socially irresponsible behavior of companies through the application of the consumer law rules on the prohibition of unfair commercial practice.","10.3390/su12031009","","||Mihajlovic B.","Article","85081283322","2020-02-01"
"+","123456789/7294","Synthesis and Electrochemical Estimation of DNA-Binding Capacity of Novel Ferrocene-Containing Pyrrolidines","© 2020 The Electrochemical Society ("ECS"). Published on behalf of ECS by IOP Publishing Limited. The design, synthesis, spectral and electrochemical characterization of a series of novel pyrrolidine derivatives have been described. The synthesis was achieved by 1,3-dipolar cycloaddition of azomethine ylides and ferrocene-substituted chalcones, while detailed characterization of the compounds was performed by IR, NMR and elemental analyses, followed by X-ray diffraction experiment for one representative. The electrochemical properties of obtained ferrocene-containing heterocycles were examined by cyclic voltammetry (CV) and differential pulse voltammetry (DPV). These techniques revealed the quasi-reversible one-electron oxidation process. DNA-binding capacity of all products was studied using CV and DPV, highlighting a derivative with five times better binding affinity than the others. DFT calculations and molecular docking studies were carried out to gain more exhaustive insight into the type of interactions of the distinguished compound and the nucleic acid.","10.1149/1945-7111/ab68cc","00134651","||Pešić M.::0000-0002-3871-5795::600||Bugarinović J.::0000-0002-3561-6732::600||Minić A.::0000-0003-3902-2736::600||Bogdanović G.::0000-0002-4721-794X::600||Todosijević A.||Stevanović D.::0000-0003-3199-0775::600||Damljanović I.::0000-0001-5687-2885::600","Article","85081751226","2020-01-22"
"+","123456789/7294","Influence of size of ventilated brake disc’s ribs on air flow velocity","© 2019 SERSC. The braking system is one of the most important assemblies of the vehicle. During the braking process, a large part of the heat is accumulated by the disc, and therefore, it is essential that it has good cooling. In order to improve cooling and reduce the mass of the disc, nowadays more and more ventilated discs are applied, even on commercial vehicles. Not only does this design improve the cooling of automotive disc brakes, but their use significantly reduces the wear of the brake disc and brake pads. The aim of the paper is to reduce the mass of the disc and increase the mass flow of air through the disc, but not to disturb the mechanical characteristics of the brake disc. Optimization is done in the Ansys software package. By performed analysis, parameters that satisfy the goal of the paper are presented. Numerical analysis allows reducing the time in the development of new products, and costs are minimized.","","20054238","||Stojanović N.::0000-0002-4199-0587::600||Ghazaly N.::0000-0001-8460-4407::600||Grujic I.||Glisovic J.||Narayan S.::0000-0001-7033-6341::600","Article","85081189282","2020-01-08"
"+","123456789/7294","Antitumor effects of vanillin based chalcone analogs in vitro","© 2020 Polish Pharmaceutical Society. All rights reserved. Chalcones, as a large group of organic compounds, are widely implemented in various types of anticancer therapeutics. These plant metabolites are present in fruits, vegetables, spices, and have anti-tumor, antiinflammation, immunomodulation, antibacterial and anti-oxidative activities, as well as many other pharmacological and biological effects. The aim of the present study was to investigate cytotoxic effects, type of cell death and mechanism of action of the newly synthesized vanillin based chalcone analogs, (CH1) and (CH2) on human colon cancer HCT-116 and noncancerous (control) MRC-5 cell lines. In order to compare the effects of vanillin based chalcone analogs on investigated cell lines, as reference substances cisplatin (cisPt) and dehydrozingerone (DHZ) were used. Investigation of antitumor effect of chalcone analogs on HCT-116 cells was carried out by three methods MTT assay, flow cytometry and immunofluorescence analysis. The result of our investigation indicated that newly synthesized vanillin based chalcone analogs expressed powerful antitumor effect on cancer cells (HCT-116 cell line), while their effect on healthy cells (MRC-5 cell line) was not statistically significant. Vanillin based chalcone analogs caused overexpression and activation of mitochondrial Bax protein and caspase-3 in HCT-116 cells, indicating that their mechanism of antitumor action was mediated through activation of the inner apoptotic pathway. These results indicate possible usefulness of CH1 and CH2 in antitumor therapy whether through its direct cytotoxic effect or as adjuvant therapy. Our results indicate possible usefulness of CH1 and CH2 vanillin based chalcone analogs in antitumor therapy.","10.32383/appdr/112786","00016837","||Lukovic J.||Mitrovic M.||Popovic S.::0000-0002-7671-8575::600||Milosavljevic Z.||Stanojević-Pirković M.||An-Elković M.||Zelen I.||Sorak M.::0000-0002-3571-0091::600||Muškinja J.::0000-0002-0638-3423::600||Ratkovic Z.::0000-0002-7194-9163::600||Nikolic I.","Article","85082796014","2020-01-01"
"+","123456789/7294","Current/voltage mode full-wave rectifier based on a single CCCII","© 2020 John Wiley  &  Sons, Ltd. A novel full-wave rectifier (or inverting full-wave rectifier) based on a single second-generation current controlled conveyor (CCCII) having no external passive components and diodes, conducive to IC implementation, is proposed in this paper. The circuits are capable of precisely processing the input signals of up to 30 MHz frequency, while in the situation when the circuits are operating in a voltage mode (VM), the allowed range of possible changes in the input voltage signal is ±500 mV compared with ±1 mA in the current mode (CM). In order to more fully perceive the performance of the proposed full-wave rectifier, the influence of nonidealities and parasitic impedances effects on its work was analyzed. The simulation results using 0.35-μm parameters confirm the feasibility of the proposed solutions.","10.1002/cta.2781","00989886","||Petrović P.::0000-0002-8849-4230::600","Article","85082341662","2020-01-01"
"+","123456789/7294","New method of defining of process parameters in double side thinning strip ironing test","© 2020 Published by Faculty of Engineering. New way for defining of main process parameters procedure in the strip ironing process with double side thinning, as well as appropriate experimental results are presented in this paper. Given is improved analysis for friction coefficient and contact pressure defining. Classical common so called “Schlosser model” and other similar models are not suitable in certain cases, and give unreal values for both of main process parameters. Expressions obtained here were verified in suitable examples which are, also, presented in the paper. Verification was performed on the base of experimental results. Realized was the single and four phases ironing process of mild steel DC04 in sheet stripes drawing test. Stripes were 20 mm wide and 2.5 mm thick. Lateral force intensities were 5, 10 and 15 kN. Maximal obtained thinning deformation in one phase was about 17 %. Appropriate lubrication with mineral oil and grease was used in conditions of lower speed of 20 mm/min. Results shows that proposed improved procedures enables more precise process monitoring and precise quantification of lateral force, contact pressure and thinning strain influence on friction.","10.24874/ti.2020.42.01.06","03548996","||Aleksandrović S.||Đačić S.||Đorđević M.||Ratkovic N.||Arsić D.::0000-0003-0326-0898::600||Lazic V.::0000-0001-9362-7184::600","Article","85081646720","2020-01-01"
"+","123456789/7294","The scope and limitations of external audit in detecting frauds in company’s operations","© 2020, Dragomir Dimitrijevic, Biljana Jovkovic and Suncica Milutinovic. Purpose: This study aims to investigate what are the capabilities and limits of external audit in detecting frauds in companies operating in the territory of the Republics: Serbia, Croatia, Macedonia and Bosnia and Herzegovina. Design/methodology/approach: In total, 51 certified auditors from Serbia, Croatia, Macedonia and Bosnia and Herzegovina were surveyed to analyze what are the most frequent warning signals of the existence of the frauds auditors encounter during the verification of company’s financial statements. Findings: The study indicated that the auditors of the Republic of Serbia more often encountered groundless overstatement of revenues compared with other countries, while regarding manipulative representation of inventories, the largest mean value and median are still among the auditors of the Republic of Serbia. Practical implications: Based on the research results, it can be concluded that it is necessary to expand the legal obligation and power of external auditors when, in financial statement auditing, they come to clear findings that indicate fraud. Expansion of external auditors’ powers would reduce their current limitations and expand the domain of action. Originality/value: Limitations in external auditors’ work prevent the processing of frauds. However, auditors’ analysis of financial statements and pointing to potential irregularities can be a good manner for the early detection and prevention of frauds in company’s operations.","10.1108/JFC-11-2019-0155","13590790","||Dimitrijević D.::0000-0001-8049-9451::600||Jovković B.::0000-0003-2433-0963::600||Milutinovic S.","Article","85081546540","2020-01-01"
"+","123456789/7294","Kinetic models of the extraction of vanillic acid from pumpkin seeds","© 2020 Milan Mitić et al., published by De Gruyter 2019. Vanillic acid is used in the food industry and perfumery, and the optimization of its extraction process from the natural source is important for saving time and money. The presence of vanillic acid in pumpkin seeds was proven using HPLC analysis. Computational optimization of the extraction shows that for the concentration of ethanol 40% and solmodul: V/m=20, the optimum condition for the extraction of vanillic acid from pumpkin seeds was 100 min and 450C. The estimation of fitting for each kinetic model to the experimental kinetic data was performed using the root mean square, standard deviation, and the correlation coefficient. Ponomarev model was shown as the most suitable with the highest accuracy among the six considered kinetic models. The enthalpy and entropy changes were positive, while the Gibbs free energy was negative and decreased when temperature increased during the thermodynamic analysis. Therefore, the extraction of vanillic acid from pumpkin seeds was endothermic, spontaneous, and irreversible.","10.1515/chem-2020-0001","","||Mitić M.::0000-0002-1310-0540::600||Janković S.||Mašković P.::0000-0001-7566-2840::600||Arsic B.||Mitić J.||Ickovski J.","Article","85081317514","2020-01-01"
"+","123456789/7294","Influence of different plum pox virus strains on chemical composition of 'Čačanska lepotica' plum fruit cultivar","© Springer Nature Switzerland AG 2020. Plum pox virus (PPV) is economically the most important virus of stone fruits. In sensitive plum (Prunus domestica L.) cultivars, PPV causes foliar symptoms, fruits deformation, changes in the chemical composition of fruits and premature fruit drop. Fruits of ‘Čačanska lepotica’ plum cultivar were collected from an experimental orchard in locality Čačak. Samples were collected from 15 trees (5 infected with PPV-D, 5 infected with PPV-Rec and 5 from PPV-free trees). Trees for sampling were selected after the RT-PCR analysis of the trees from the plantation using PPV strain-specific primers. The fruits were picked at five different terms at seven-days interval during the entire maturation stage. All tested samples, 10 PPV-infected and 5 uninfected, were further chemically analyzed. The analyses included determination of soluble solid content, titratable acidity and total phenolic content. The aim of this work was to reveal the possible changes in chemical composition in the fruits of ‘Čačanska lepotica’ cultivar, grown at the same locality, caused by the two different PPV strains.","10.1007/978-3-030-40049-1_9","16800737","||Miletić N.||Jevremovic D.::0000-0002-2983-9198::600||Mitrovic O.||Gvozdenović O.||Pajić M.||Paunovic S.","Conference Paper","85080919019","2020-01-01"
"+","123456789/7294","Assessment of safety aspect and probiotic potential of autochthonous Enterococcus faecium strains isolated from spontaneous fermented sausage","© 2020, Springer Nature B.V. Objective: The objectives of this research project were isolation, identification, and evaluation of the safety aspect and probiotics properties of 21 Enterococcus faecium strains isolated from sausages originated from southeastern Serbia. Results: Analyzed E. faecium isolates showed tolerance to simulated gastrointestinal conditions. All the examined isolates grew well on media with 0.1% and 0.2% of phenol. None of the tested isolates were histamine-producers, while the synthesis of tyramine was observed for E. faecium sk8-1 and sk8-17. Full resistance to antibiotics was not observed for any examined isolate of E. faecium (penicillin, amoxicillin, and ofloxacin showed the effect on all tested isolates). An inhibition zone against examined pathogens was exhibited by all strains, with the largest inhibition zone against Pseudomonas spp., Proteus spp. and E. coli (12–30 mm/MIC values ranged from 0.5 to 12 mg mL−1). Conclusion: The results indicated that E. faecium isolates from spontaneously fermented sausage showed a potential for further investigation and possible application as probiotics.","10.1007/s10529-020-02874-5","01415492","||Žugić Petrović T.||Ilić P.||Grujović M.||Mladenović K.::0000-0003-0105-6447::600||Kocić-Tanackov S.||Čomić L.::0000-0001-8549-4705::600","Article","85082974260","2020-01-01"
"+","123456789/7294","New minor groove covering DNA binding mode of dinuclear Pt(II) complexes with various pyridine-linked bridging ligands and dual anticancer-antiangiogenic activities","© 2020, Society for Biological Inorganic Chemistry (SBIC). New anticancer platinum(II) compounds simultaneously targeting tumor cells and tumor-derived neoangiogenesis, with new DNA interacting mode and large therapeutic window are appealing alternative to improve efficacy of clinical platinum chemotherapeutics. Herein, we describe three novel dinuclear [{Pt(en)Cl}2(μ-L)]2+ complexes with different pyridine-like bridging ligands (L), 4,4′-bipyridine (Pt1), 1,2-bis(4-pyridyl)ethane (Pt2) and 1,2-bis(4-pyridyl)ethene (Pt3), which highly, positively charged aqua derivatives, [{Pt(en)(H2O)}2(μ-L)]4+, interact with the phosphate backbone forming DNA-Pt adducts with an unique and previously undescribed binding mode, called a minor groove covering. The results of this study suggested that the new binding mode of the aqua-Pt(II) complexes with DNA could be attributed to the higher anticancer activities of their chloride analogues. All three compounds, particularly complex [{Pt(en)Cl}2(μ-4,4′-bipy)]Cl2·2H2O (4,4′-bipy is 4,4′-bipyridine) (Pt1), overcame cisplatin resistance in vivo in the zebrafish–mouse melanoma xenograft model, showed much higher therapeutic potential than antiangiogenic drug sunitinib malate, while effectively blocking tumor neovascularization and melanoma cell metastasis. Overall therapeutic profile showed new dinuclear Pt(II) complexes could be novel, effective and safe anticancer agents. Finally, the correlation with the structural characteristics of these complexes can serve as a useful tool for developing new and more effective anticancer drugs.","10.1007/s00775-020-01770-7","09498257","||Franich A.||Živković M.::0000-0002-1467-8002::600||Ilic-Tomic T.||Dordević I.||Nikodinović-Runić J.::0000-0002-2553-977X::600||Pavic A.||Janjić G.||Rajkovic S.::0000-0002-7135-4063::600","Article","85081894121","2020-01-01"
"+","123456789/7294","The impact of structured education of breast cancer patients receiving capecitabine on mental disorders","© This work by JBUON is licensed under a Creative Commons Attribution 4.0 International License. Purpose: This study was conducted to assess the impact of structured education of breast cancer patients receiving capecitabine treatment on depression, anxiety and stress. Methods: The study included 142 breast cancer patients who were receiving capecitabine at the Institute of Oncology and Radiology of Serbia in 2016 and 2017. Patients were randomized into two study groups: the experimental group had additional individual, structured, specific education, before chemotherapy by using a Serbian version of the Multinational Association of Supportive Care in Cancer (MASCC) Oral Agent Teaching Tool (MOATT V1.0), while the control group had usual standard education. Patients were followed up for 3 weeks, during their first chemotherapy cycle. Two instruments were used: specifically designed, for the purpose of this study, sociodemographic questionnaire and the Serbian version of the Depression Anxiety Stress Scales-21 (DASS 21) self-report questionnaire. Results: Before starting capecitabine and education, breast cancer patients with metastatic disease had symptoms of depression (29.58%), anxiety (35.92%) and stress (21.13%), mostly mild and moderate. These symptoms were decreased in the whole group of patients after the first and the third week from education, with significant difference in depression and anxiety. Depression, anxiety and stress were decreased significantly in experimental group of patients from the initial measurement to the one-week and three-week follow-up, comparing to the control group of patients. Conclusions: Structured education has a significant positive impact on depression, anxiety and stress symptoms of breast cancer patients receiving capecitabine. Therefore, it may be recommended for use in everyday clinical practice.","","11070625","||Tadic D.||Djukić Dejanović S.||Tomasevic Z.||Djoković D.::0000-0002-2114-2011::600||Janjić V.","Article","85081617731","2020-01-01"
"+","123456789/7294","IL-2 And IL-15 Induced NKG2D, CD158a and CD158b Expression on T, NKT- like and NK Cell Lymphocyte Subsets from Regional Lymph Nodes of Melanoma Patients","© 2018, Arányi Lajos Foundation. Regional lymph nodes (LN)s represent important immunological barriers in spreading of malignant tumors. However, they are the most frequent early metastatic site in melanoma. Immunomodulatory agents including cytokines have been included in therapy of melanoma and have shown severe side effects and toxicity. In this sense, there is a growing need for bringing these agents to further in vitro testing that may enlighten aspects of their regional application. Therefore, the aim of this study was to investigate the effect of interleukin (IL)-2 and IL-15, the two cytokines with similar immune-enhancing effects, on the expression of activating NKG2D, inhibitory CD158a and CD158b receptors on CD8+ T, NKT-like and NK cell lymphocyte subsets from regional LNs of melanoma patients. In this study, we showed significant effects of IL-2 and IL-15 cytokine treatments on the expression of activating NKG2D and on inhibitory CD158a and CD158b receptors on lymphocytes, CD8+ T, NKT-like and NK cell lymphocyte subsets originating from regional LNs of melanoma patients. Furthermore, IL-2 and IL-15 by inducing the expression of NKG2D activating receptor on innate and on adaptive lymphocyte subsets and by augmenting NK cell antitumor cytotoxicity that correlated with the cytokine-induced NKG2D expression, increased antitumor potential of immune cells in regional LNs of melanoma patients irrespective of LN involvement. These findings indicate the importance of immune cell population from regional LNs of melanoma patients in the development of immune intervention strategies that may if applied locally increase antitumor potential to the level that controls tumor progressions.","10.1007/s12253-018-0444-2","12194956","||Vuletić A.||Jovanic I.||Jurišić V.::0000-0001-6525-128X::600||Milovanovic Z.||Nikolić S.||Spurnic I.||Konjević G.","Article","85082791917","2020-01-01"
"+","123456789/7294","High-protein diet and omega-3 fatty acids improve redox status in olanzapine-treated rats","© 2020, Springer Science+Business Media, LLC, part of Springer Nature. The present study aimed to estimate the effects of high-protein diet (PD)—isolated whey protein and omega-3 fatty acids—docosahexaenoic and eicosapentaenoic acid on oxidative parameters of rats treated with Olanzapine (OLZ). Experiments were carried out on 8-week-old Wistar albino male rats (n = 64) weighing 200 ± 20 g. By dietary and pharmacological treatment, all animals were divided into 8 groups: 1. CTRL group; 2. CTRL + OLZ group; 3. CTRL + FA group; 4. CTRL + OLZ + FA group; 5. PD group; 6. PD + OLZ group; 7. PD + FA group; 8. PD + OLZ + FA group. After 6 weeks of pharmacological/diet treatment, all animals were sacrificed to collect blood samples and determine the biomarkers of oxidative stress. The following oxidative stress markers were measured spectrophotometrically: superoxide anion radical (O2−), hydrogen peroxide (H2O2), nitric oxide (NO−), index of lipid peroxidation measured as TBARS, reduced glutathione, catalase and superoxide dismutase. The study has shown that Olanzapine treatment was associated with increased release of pro-oxidants and diminished activity of anti-oxidant markers. Additional supplementation with PD and FA succeeded in abolishing the negative influence in most of the measured parameters. However, these beneficial impacts were stronger in the case of their separate application, which could be the practical and clinical importance of these results.","10.1007/s11010-020-03718-6","03008177","||Mitrovic M.||Nikolic Turnic T.||Zivkovic V.||Pavic Z.||Vranic A.::0000-0002-6429-7953::600||Srejovic I.||Sretenovic J.||Bolevich S.::0000-0002-1574-477X::600||Jakovljevic V.","Article","85082336290","2020-01-01"
"+","123456789/7294","Physiological responses and activity demands remain consistent irrespective of team size in recreational handball","© 2020 Institute of Sport. All rights reserved. The aim of this study was to examine the impact of team size on acute physiological, perceptual, and activity demands of recreational handball to provide a better understanding for the potential prescription of recreational handball to achieve health benefits. Active, male college students (N=22) completed 3-, 4-, and 5-a-side handball game formats across three separate sessions following a repeated-measures, crossover design. Heart rate (HR), blood lactate concentration (BLa), rating of perceived exertion (RPE), distance covered, and frequency of accelerations/decelerations were monitored during games. Each game format elicited vigorous intensities with a mean HR in the range 82–85%HRmax and post-game BLa in the range 3.9–4.4 mmol·L-1. No significant differences (P>0.05) in absolute (ηp2=0.40), relative mean HR (ηp2=0.43), BLa (ηp2=0.16), total distance (ηp2=0.32), total accelerations (ηp2=0.23), or total decelerations (ηp2=0.23) were observed between game formats. A significant effect was observed for RPE (ηp2=0.51), where 3-a-side games elicited a higher RPE than 5-a-side games (P=0.03, large). Modifying player number has a negligible effect on the physiological and activity demands encountered during recreational handball games. Recreational handball consisting of 3–5 players imposes similar intermittent workloads, resulting in vigorous physiological responses concomitant with those recommended for overall health improvements as part of regular training.","10.5114/biolsport.2020.92516","0860021X","||Stojiljković N.||Scanlan A.::0000-0002-0750-8697::600||Dalbo V.::0000-0002-5944-7558::600||Stanković R.||Milanovic Z.||Stojanović E.","Article","85082014673","2020-01-01"
"+","123456789/7294","Steiner degree distance indices: Chemical applicability and bounds","© 2020 Wiley Periodicals, Inc. The k-center Steiner degree distance (SDDk(G)) has recently been introduced as a natural extension of the degree distance DD(G). In this paper, the prediction potential of SDDk(G) is discussed. Then, the relation between this and some other well-known distance-based indices of trees is derived to explain its prediction potential. Finally, the lower and upper bounds of SDDk(G) in terms of some other graph invariants are presented.","10.1002/qua.26209","00207608","||Redžepović I.||Mao Y.||Wang Z.||Furtula B.::0000-0002-5056-6892::600","Article","85081714983","2020-01-01"
"+","123456789/7294","Antioxidant, Antimicrobial and Antibiofilm Activity of Coriander (Coriandrum sativum L.) Essential Oil for Its Application in Foods","© 2020 by the authors. The aim of this study was to assess the chemical composition, antioxidant, antimicrobial and antibiofilm activity of the Coriandrum sativum essential oil. Changes in the biofilm profile of Stenotropomonas maltophilia and Bacillus subtilis were studied using MALDI-TOF MS Biotyper on glass and wooden surfaces. The molecular differences of biofilms in different days were observed as well. The major volatile compounds of the coriander essential oil in the present study were β-linalool 66.07%. Coriander essential oil radical scavenging activity was 51.05% of inhibition. Coriander essential oil expressed the strongest antibacterial activity against B. subtilis followed by S. maltophilia and Penicillium expansum. The strongest antibiofilm activity of the coriander essential oil was found against S. maltophilia. A clearly differentiated branch was obtained for early growth variants of S. maltophilia in case of planktonic cells and all experimental groups and time span can be reported for the grouping pattern of B. subtilis preferentially when comparing to the media matrix, but without clear differences among variants. The results indicate that coriander was effective against the tested Penicillium expansum in the vapor phase after 14 days with MID50 367.19 and MID90 445.92 µL/L of air.","10.3390/foods9030282","","||Kačaniova M.::0000-0002-4460-0222::600||Galovičová L.||Ivanišová E.||Vukovic N.::0000-0003-4382-9743::600||Lakatošová J.::0000-0002-3799-4390::600||Valková V.||Borotova P.||Ziarovska J.||Terentjeva M.::0000-0002-6306-8374::600||Felsöciová S.::0000-0002-2944-7071::600||Tvrda E.","Article","85081283745","2020-01-01"
"+","123456789/7294","EGFR Polymorphism and Survival of NSCLC Patients Treated with TKIs: A Systematic Review and Meta-Analysis","© 2020 Vladimir Jurisic et al. Tyrosine kinase inhibitor-(TKI-) based therapy revolutionized the overall survival and the quality of life in non-small-cell lung cancer (NSCLC) patients that have epidermal growth factor receptor (EGFR) mutations. However, EGFR is a highly polymorphic and mutation-prone gene, with over 1200 single nucleotide polymorphisms (SNPs). Since the role of EFGR polymorphism on the treatment outcome is still a matter of debate, this research analyzed the available literature data, according to the PRISMA guidelines for meta-analyses. Research includes PubMed, Scopus, ISI Web of Science, and 14 of genome-wide association studies (GWAS) electronic databases in order to provide quantitative assessment of the association between ten investigated EGFR SNPs and the survival of NSCLC patients. The pooled HR and their 95% CI for OS and PFS for different EGFR polymorphisms using a random or fixed effect model based on the calculated heterogeneity between the studies was applied. The longest and the shortest median OSs were reported for the homozygous wild genotype and a variant allele carriers for rs712829 (-216G>T), respectively. Quantitative synthesis in our study shows that out of ten investigated EGFR SNPs (rs11543848, rs11568315, rs11977388, rs2075102, rs2227983, rs2293347, rs4947492, rs712829, rs712830, and rs7809028), only four, namely, rs712829 (-216G>T), rs11568315 (CA repeat), rs2293347 (D994D), and rs4947492, have been reported to affect the outcome of TKI-based NSCLC treatment. Of these, only-216G>T and variable CA repeat polymorphisms have been confirmed by meta-analysis of available data to significantly affect OS and PFS in gefitinib-or erlotinib-treated NSCLC patients.","10.1155/2020/1973241","16878450","||Jurišić V.::0000-0001-6525-128X::600||Vukovic V.||Obradović J.::0000-0002-8853-6525::600||Gulyaeva L.::0000-0002-7693-3777::600||Kushlinsky N.::0000-0002-3898-4127::600||Djordjevic N.::0000-0003-4525-6723::600","Article","85083067061","2020-01-01"
"+","123456789/7294","Molecular and Cellular Mechanisms Responsible for Beneficial Effects of Mesenchymal Stem Cell-Derived Product "exo-d-MAPPS" in Attenuation of Chronic Airway Inflammation","© 2020 Carl Randall Harrell et al. Mesenchymal stem cells (MSCs), due to their potential for differentiation into alveolar epithelial cells and their immunosuppressive characteristics, are considered a new therapeutic agent in cell-based therapy of inflammatory lung disorders, including chronic obstructive pulmonary disease (COPD). Since most of the MSC-mediated beneficent effects were the consequence of their paracrine action, herewith, we investigated the effects of a newly designed MSC-derived product "Exosome-derived Multiple Allogeneic Protein Paracrine Signaling (Exo-d-MAPPS)" in the attenuation of chronic airway inflammation by using an animal model of COPD (induced by chronic exposure to cigarette smoke (CS)) and clinical data obtained from Exo-d-MAPPS-Treated COPD patients. Exo-d-MAPPS contains a high concentration of immunomodulatory factors which are capable of attenuating chronic airway inflammation, including soluble TNF receptors I and II, IL-1 receptor antagonist, and soluble receptor for advanced glycation end products. Accordingly, Exo-d-MAPPS significantly improved respiratory function, downregulated serum levels of inflammatory cytokines (TNF-, IL-1β, IL-12, and IFN-γ), increased serum concentration of immunosuppressive IL-10, and attenuated chronic airway inflammation in CS-exposed mice. The cellular makeup of the lungs revealed that Exo-d-MAPPS treatment attenuated the production of inflammatory cytokines in lung-infiltrated macrophages, neutrophils, and natural killer and natural killer T cells and alleviated the antigen-presenting properties of lung-infiltrated macrophages and dendritic cells (DCs). Additionally, Exo-d-MAPPS promoted the expansion of immunosuppressive IL-10-producing alternatively activated macrophages, regulatory DCs, and CD4+FoxP3+T regulatory cells in inflamed lungs which resulted in the attenuation of chronic airway inflammation. In a similar manner, as it was observed in an animal model, Exo-d-MAPPS treatment significantly improved the pulmonary status and quality of life of COPD patients. Importantly, Exo-d-MAPPS was well tolerated since none of the 30 COPD patients reported any adverse effects after Exo-d-MAPPS administration. In summing up, we believe that Exo-d-MAPPS could be considered a potentially new therapeutic agent in the treatment of chronic inflammatory lung diseases whose efficacy should be further explored in large clinical trials.","10.1155/2020/3153891","22107177","||Harrell C.||Miloradovic D.||Sadikot R.||Fellabaum C.||Markovic B.||Miloradovic D.||Acovic A.||Djonov V.||Arsenijevic N.::0000-0002-2107-3490::600||Volarevic V.::0000-0002-9057-9460::600","Article","85082842043","2020-01-01"
"+","123456789/7294","Rigid 3d registration algorithm for localization of the vertebral centroids in 3d deformity models of adolescent idiopathic scoliosis","© 2020 CAD Solutions, LLC. In this paper, we developed a methodology for a non-invasive 3D diagnosis based on a digitized dorsal surface of the patient enabling assessment and monitoring of Adolescent Idiopathic Scoliosis (AIS). We applied a novel 3D registration algorithm, which enables rigid transformation of 3D vertebral CAD models and localization of vertebrae centroids on the middle 3D spinal line to simulate the AIS. Registrations of the vertebral centroids on a 5th degree middle spinal B-Spline curve is the main step in establishing biomechanical relations of internal structure (deformed spine) with a digitized surface of patients and extracting the key diagnostic parameters of the AIS. This simulation algorithm is developed into PLM system CATIA using KAx tools and successfully evaluated on 372 AIS patients.","10.14733/cadaps.2020.1313-1325","16864360","||Ćuković S.::0000-0003-0525-2197::600||Taylor W.||Lukovic V.||Ghionea I.||Baizid K.||Iqbal J.||Karuppasamy S.","Article","85081081718","2020-01-01"
"+","123456789/7294","Preconditioning with PDE1 Inhibitors and Moderate-Intensity Training Positively Affect Systemic Redox State of Rats","© 2020 Jelena Ristic et al. Taken into consideration that oxidative stress response after preconditioning with phosphodiesterase inhibitors (PDEIs) and moderate physical activity has still not been clarified, the aim of this study was to assess the effects of PDEIs alone or in combination with physical activity, on systemic redox status. The study was carried out on 96 male Wistar albino rats classified into two groups. The first group included animals exposed only to pharmacological preconditioning (PreC) maneuver (sedentary control (CTRL, 1 ml/day saline, n=12), nicardipine (6 mg/kg/day of NIC, n=12), vinpocetine (10 mg/kg/day of VIN, n=12), and nimodipine (NIM 10 mg/kg/day of, n=12). The second included animals exposed to preconditioning with moderate-intensity training (MIT) on treadmill for 8 weeks. After 5 weeks from the start of training, the animals were divided into four subgroups depending on the medication to be used for pharmacological PreC: moderate-intensity training (MIT+ 1 ml/day saline, n=12), nicardipine (MIT+ 6 mg/kg/day of NIC, n=12), vinpocetine (MIT+ 10 mg/kg/day of VIN, n=12), and nimodipine (MIT+ 10 mg/kg/day of NIM, n=12). After three weeks of pharmacological preconditioning, the animals were sacrificed. The following oxidative stress parameters were measured spectrophotometrically: nitrites (NO2-), superoxide anion radical (O2-), hydrogen peroxide (H2O2), index of lipid peroxidation (TBARS), superoxide dismutase (SOD), catalase (CAT), and reduced glutathione (GSH). Our results showed that PDE1 and MIT preconditioning decreased the release of prooxidants and improved the activity of antioxidant enzymes thus preventing systemic oxidative stress.","10.1155/2020/6361703","19420900","||Ristic J.||Folić M.::0000-0002-0807-3488::600||Radonjic K.||Rosić M.||Bolevich S.::0000-0002-1574-477X::600||Alisultanovich O.||Draginic N.||Andjic M.||Jeremić J.::0000-0002-8084-3264::600||Milosavljevic I.||Zivkovic V.||Jakovljevic V.","Article","85080028598","2020-01-01"
